"","Policy.Number","Age","Age.Band","Avg.Age","Years.of.Driving.Experience","Number.of.Vehicles","Gender","Gender.Dummy","Married","Married.Dummy","Vehicle.Age","Vehicle.Age.Band","Avg.Vehicle.Age","Fuel.Type","Fuel.Type.Dummy","Losses","Count","Capped.Losses","logloss"
"5014",148886,24,"16-25",20.6,5,2,"M",1,"Married",0,12,"11+",12.97,"P",0,278,1,278,5.62762111369064
"11603",135562,63,"60+",65.1,44,3,"M",1,"Married",0,9,"6-10",8.02,"P",0,81,1,81,4.39444915467244
"1742",129667,56,"26-59",42.4,36,1,"M",1,"Single",1,6,"6-10",8.02,"P",0,468,1,468,6.14846829591765
"10560",152325,17,"16-25",20.6,0,3,"M",1,"Single",1,14,"11+",12.97,"D",1,948,1,948,6.85435450225502
"7894",146346,28,"26-59",42.4,9,3,"M",1,"Married",0,2,"0-5",2.5,"P",0,425,1,425,6.05208916892442
"1036",178330,61,"60+",65.1,44,1,"M",1,"Single",1,5,"0-5",2.5,"P",0,329,1,329,5.79605775076537
"11291",131281,70,"60+",65.1,50,3,"M",1,"Married",0,1,"0-5",2.5,"P",0,430,1,430,6.06378520868761
"8919",107371,50,"26-59",42.4,31,3,"M",1,"Married",0,11,"11+",12.97,"P",0,135,1,135,4.90527477843843
"3298",138642,35,"26-59",42.4,16,2,"M",1,"Single",1,12,"11+",12.97,"P",0,397,1,397,5.98393628068719
"3914",114456,57,"26-59",42.4,38,2,"M",1,"Single",1,12,"11+",12.97,"P",0,212,1,212,5.35658627467201
"5348",130883,31,"26-59",42.4,10,2,"M",1,"Single",1,10,"6-10",8.02,"P",0,475,1,475,6.16331480403464
"11543",108553,18,"16-25",20.6,1,3,"M",1,"Single",1,0,"0-5",2.5,"D",1,1299,1,1200,7.1693500166706
"4845",112870,42,"26-59",42.4,22,2,"M",1,"Married",0,6,"6-10",8.02,"P",0,349,1,349,5.85507192220243
"13228",174210,62,"60+",65.1,44,4,"F",0,"Single",1,1,"0-5",2.5,"P",0,167,1,167,5.11799381241676
"11674",162461,70,"60+",65.1,51,3,"M",1,"Single",1,7,"6-10",8.02,"P",0,368,1,368,5.90808293816893
"1114",176052,68,"60+",65.1,51,1,"M",1,"Married",0,2,"0-5",2.5,"P",0,153,1,153,5.03043792139244
